                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.7318,                 1.2373,                 1.3953,                0.59843,                0.62851,                0.67094,                0.46995,                 1.0036,                 1.2989,                 1.8373,              0.0005446,              0.0005446,              0.0005446
                     49,                0.71185,                 1.2229,                 1.3791,                0.58472,                0.69954,                0.71722,                0.51539,                 1.0332,                 1.2708,                 1.7692,              0.0005347,              0.0005347,              0.0005347
                     50,                0.70333,                 1.1778,                 1.3714,                0.68335,                0.69945,                0.74769,                0.55032,                0.96436,                 1.1579,                 1.8158,              0.0005248,              0.0005248,              0.0005248
                     51,                0.72288,                 1.1958,                 1.3799,                0.62215,                0.70549,                0.71726,                0.50314,                0.99642,                 1.1893,                 1.8093,              0.0005149,              0.0005149,              0.0005149
                     52,                0.71782,                 1.1944,                 1.3767,                  0.612,                0.78857,                0.75043,                0.52718,                0.98181,                  1.148,                 1.7781,               0.000505,               0.000505,               0.000505
                     53,                0.69311,                 1.1657,                 1.3639,                0.67659,                 0.6618,                0.72909,                0.51678,                0.95487,                 1.1887,                 1.7461,              0.0004951,              0.0004951,              0.0004951
                     54,                0.70296,                 1.1654,                 1.3733,                0.73189,                0.72959,                0.77164,                0.55088,                0.99999,                 1.0701,                 1.7919,              0.0004852,              0.0004852,              0.0004852
                     55,                0.70937,                 1.1431,                 1.3649,                0.65029,                0.74968,                0.74151,                0.53176,                 1.0265,                 1.0748,                 1.7865,              0.0004753,              0.0004753,              0.0004753
                     56,                0.70767,                 1.1559,                 1.3678,                0.77321,                0.68643,                0.77792,                0.55575,                 0.9758,                  1.093,                 1.7361,              0.0004654,              0.0004654,              0.0004654
                     57,                0.69477,                 1.1316,                 1.3611,                0.74443,                0.71328,                  0.774,                0.57025,                0.93066,                 1.0674,                  1.721,              0.0004555,              0.0004555,              0.0004555
                     58,                0.68783,                 1.1347,                  1.361,                0.57019,                 0.6572,                0.71225,                 0.5041,                0.98205,                 1.2645,                  1.756,              0.0004456,              0.0004456,              0.0004456
                     59,                0.68413,                 1.1047,                  1.349,                0.73468,                0.69345,                0.77918,                0.55971,                0.96648,                 1.0935,                 1.7078,              0.0004357,              0.0004357,              0.0004357
                     60,                0.69396,                  1.142,                 1.3526,                0.59508,                0.75147,                0.74486,                0.53645,                0.96522,                 1.1468,                 1.7276,              0.0004258,              0.0004258,              0.0004258
                     61,                 0.6711,                 1.0934,                 1.3313,                0.73068,                 0.7076,                0.78096,                0.56575,                0.95666,                  1.046,                 1.7144,              0.0004159,              0.0004159,              0.0004159
                     62,                0.68015,                  1.108,                 1.3421,                0.70457,                0.74147,                0.78563,                0.54818,                0.98511,                 1.0928,                 1.7438,               0.000406,               0.000406,               0.000406
                     63,                0.68829,                  1.104,                 1.3564,                0.73712,                0.65437,                0.75961,                 0.5468,                0.94336,                 1.1349,                 1.6906,              0.0003961,              0.0003961,              0.0003961
                     64,                0.66523,                 1.0905,                 1.3389,                 0.6709,                0.75542,                0.78881,                0.56824,                0.94141,                 1.0727,                 1.7403,              0.0003862,              0.0003862,              0.0003862
                     65,                0.65303,                 1.0385,                 1.3204,                0.77311,                 0.7661,                0.83508,                0.60447,                0.94142,                 0.9788,                 1.7053,              0.0003763,              0.0003763,              0.0003763
                     66,                0.66128,                 1.0481,                 1.3318,                0.69607,                0.73028,                0.80141,                0.56974,                0.93909,                 1.0473,                 1.7005,              0.0003664,              0.0003664,              0.0003664
                     67,                0.68367,                 1.0809,                 1.3434,                0.65554,                 0.7237,                0.73813,                0.52328,                0.95363,                 1.0716,                 1.7249,              0.0003565,              0.0003565,              0.0003565
                     68,                0.67869,                 1.0659,                 1.3392,                0.63624,                0.72043,                0.78553,                0.56194,                0.93681,                 1.1357,                 1.7203,              0.0003466,              0.0003466,              0.0003466
                     69,                0.67375,                 1.0559,                 1.3418,                0.76784,                0.71066,                0.79648,                0.57323,                0.95718,                 1.0287,                 1.7197,              0.0003367,              0.0003367,              0.0003367
                     70,                0.65766,                 1.0241,                 1.3243,                0.74602,                0.72643,                0.81587,                0.58847,                0.98613,                0.99815,                 1.7269,              0.0003268,              0.0003268,              0.0003268
                     71,                0.65816,                 1.0289,                 1.3329,                0.83806,                0.68774,                0.81108,                0.59099,                0.96727,                 1.0045,                 1.7245,              0.0003169,              0.0003169,              0.0003169
                     72,                0.66697,                 1.0245,                 1.3376,                0.77671,                  0.732,                0.81302,                0.57893,                0.97488,                0.99674,                 1.7231,               0.000307,               0.000307,               0.000307
                     73,                0.64708,                 1.0029,                 1.3145,                0.80661,                0.72044,                0.80118,                 0.5852,                0.96849,                0.99114,                 1.7354,              0.0002971,              0.0002971,              0.0002971
                     74,                0.65443,                0.99079,                 1.3204,                0.66783,                0.77786,                0.80155,                0.58535,                0.93296,                   1.02,                 1.6932,              0.0002872,              0.0002872,              0.0002872
                     75,                0.63605,                0.98722,                 1.3091,                0.79618,                0.72259,                0.82759,                0.59697,                0.95341,                0.96458,                  1.731,              0.0002773,              0.0002773,              0.0002773
                     76,                0.66003,                0.99607,                 1.3271,                0.78774,                0.72685,                0.80141,                0.59008,                0.98742,                0.96067,                 1.7794,              0.0002674,              0.0002674,              0.0002674
                     77,                0.63989,                0.98623,                 1.3164,                0.86325,                0.70818,                0.82065,                 0.5897,                0.96517,                0.93795,                 1.7139,              0.0002575,              0.0002575,              0.0002575
                     78,                0.63542,                0.98422,                 1.3043,                0.78455,                0.77638,                0.82967,                0.60576,                0.94106,                0.91078,                 1.6921,              0.0002476,              0.0002476,              0.0002476
                     79,                0.65529,                0.98235,                 1.3253,                0.77981,                0.76891,                0.82692,                 0.5942,                 0.9444,                  0.933,                 1.6704,              0.0002377,              0.0002377,              0.0002377
                     80,                 0.6263,                0.94174,                 1.3077,                0.79673,                0.72328,                0.81219,                0.57458,                0.95103,                0.99916,                 1.6941,              0.0002278,              0.0002278,              0.0002278
                     81,                0.61995,                0.94266,                 1.2962,                0.78186,                0.72283,                  0.814,                0.58943,                0.94773,                0.92732,                 1.7105,              0.0002179,              0.0002179,              0.0002179
                     82,                0.63277,                 0.9497,                 1.3111,                0.77404,                0.77147,                0.82799,                0.58686,                 1.0023,                0.94639,                 1.7693,               0.000208,               0.000208,               0.000208
                     83,                0.62525,                0.92927,                 1.3058,                0.81857,                0.74651,                0.84016,                0.60483,                0.94895,                0.92238,                 1.6798,              0.0001981,              0.0001981,              0.0001981
                     84,                0.62153,                0.94795,                 1.2969,                0.73447,                0.75601,                0.81384,                0.59274,                0.94827,                0.97131,                 1.6918,              0.0001882,              0.0001882,              0.0001882
                     85,                0.64361,                0.96914,                 1.3244,                 0.7404,                0.71734,                0.80562,                0.57623,                0.96804,                0.99676,                 1.7383,              0.0001783,              0.0001783,              0.0001783
                     86,                0.62008,                0.95234,                 1.3008,                0.80846,                0.72668,                 0.8409,                0.59858,                  0.972,                0.92311,                 1.7129,              0.0001684,              0.0001684,              0.0001684
                     87,                0.60736,                0.93896,                 1.2949,                0.77528,                0.77598,                0.83235,                0.59059,                0.97236,                0.96603,                 1.7196,              0.0001585,              0.0001585,              0.0001585
                     88,                0.60396,                0.92001,                 1.2897,                0.76027,                0.74972,                0.82292,                0.59408,                0.93822,                0.94104,                 1.6943,              0.0001486,              0.0001486,              0.0001486
                     89,                0.60718,                0.89931,                 1.2865,                0.79673,                0.72911,                0.83127,                0.60666,                0.94332,                0.94652,                 1.7187,              0.0001387,              0.0001387,              0.0001387
                     90,                0.60948,                0.89542,                 1.2887,                0.79569,                 0.7234,                0.83877,                0.61572,                0.92647,                0.92664,                 1.6818,              0.0001288,              0.0001288,              0.0001288
                     91,                0.55492,                0.78102,                  1.454,                0.77795,                0.74627,                 0.8039,                0.57101,                 0.9757,                 1.0229,                 1.7136,              0.0001189,              0.0001189,              0.0001189
                     92,                0.51866,                0.68578,                 1.4039,                0.73339,                0.76746,                0.80439,                0.57472,                0.95464,                0.99344,                 1.7045,               0.000109,               0.000109,               0.000109
                     93,                0.51004,                0.65181,                 1.3822,                0.77316,                 0.7389,                0.80951,                0.58938,                 0.9271,                0.98741,                 1.6988,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.50635,                0.64084,                 1.3805,                0.76185,                0.72958,                0.80919,                0.58724,                0.95303,                0.96899,                 1.7142,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.51091,                0.62422,                 1.3898,                0.76791,                0.69755,                0.79462,                0.57868,                0.94696,                0.99488,                 1.7093,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.51304,                0.59415,                 1.3861,                0.78443,                0.73515,                0.80122,                0.58904,                0.95823,                 0.9529,                 1.7421,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.50066,                0.58358,                 1.3681,                0.77522,                0.74844,                0.79667,                0.57788,                0.97189,                0.94916,                 1.7235,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.48769,                0.59871,                 1.3526,                0.76997,                0.72241,                0.79943,                 0.5772,                0.97521,                0.96757,                  1.737,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.48839,                0.57842,                 1.3582,                0.77254,                 0.7268,                0.79391,                0.57809,                0.95188,                0.97825,                  1.722,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.46911,                0.58279,                 1.3358,                0.73151,                0.74506,                0.79038,                0.57621,                0.96914,                0.96983,                 1.7384,               2.98e-05,               2.98e-05,               2.98e-05
